2022-05-17 07:05:312 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:447 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d90640426b27f3b9469029fde147fcb1)] -> link text: Log in]
2022-05-17 07:05:29 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (d90640426b27f3b9469029fde147fcb1)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 07:05:900 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:143 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (735e457baa5bbc596b60bc80ac8a69fa)] -> link text: Log in]
2022-05-17 07:05:35 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (735e457baa5bbc596b60bc80ac8a69fa)] -> id: Email]
2022-05-17 07:05:259 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (735e457baa5bbc596b60bc80ac8a69fa)] -> name: Password]
2022-05-17 07:05:456 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (735e457baa5bbc596b60bc80ac8a69fa)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:892 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (735e457baa5bbc596b60bc80ac8a69fa)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 07:05:181 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:810 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (9de5349b9a1f987960583e3a6b1e83ea)] -> link text: Log in]
2022-05-17 07:05:862 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (9de5349b9a1f987960583e3a6b1e83ea)] -> id: Email]
2022-05-17 07:05:40 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (9de5349b9a1f987960583e3a6b1e83ea)] -> name: Password]
2022-05-17 07:05:205 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (9de5349b9a1f987960583e3a6b1e83ea)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:895 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (9de5349b9a1f987960583e3a6b1e83ea)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 07:05:910 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:609 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4b4f58b44168e50cf267460911607f11)] -> link text: Log in]
2022-05-17 07:05:421 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (4b4f58b44168e50cf267460911607f11)] -> id: Email]
2022-05-17 07:05:592 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (4b4f58b44168e50cf267460911607f11)] -> name: Password]
2022-05-17 07:05:712 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (4b4f58b44168e50cf267460911607f11)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:308 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4b4f58b44168e50cf267460911607f11)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 07:05:227 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:808 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (550522c52f7600971f52de331e3c9e10)] -> link text: Log in]
2022-05-17 07:05:536 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (550522c52f7600971f52de331e3c9e10)] -> id: Email]
2022-05-17 07:05:705 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (550522c52f7600971f52de331e3c9e10)] -> name: Password]
